id,prolific_id,study_id,session_id,concent_accepted,demo1,demo2,vaiak,vaiak2,questionnaire
33,612f8ff9a298f1f17906fb61,622b583de6baafcac196edf3,6241bbe24476a8f1c943e60f,1,"{""rt"":6969.5,""response"":{""age"":""21"",""nationality"":""italian""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":15349,""internal_node_id"":""0.0-3.0""}","{""rt"":5486.7999999523,""response"":{""demo_gender"":""male"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":20837,""internal_node_id"":""0.0-4.0""}","{""rt"":28892.200000048,""response"":{""VAIAK1"":2,""VAIAK2"":1,""VAIAK3"":0,""VAIAK4"":0,""VAIAK5"":0,""VAIAK6"":1,""VAIAK7"":0},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":49734,""internal_node_id"":""0.0-5.0""}","{""rt"":14787.400000095,""response"":{""2VAIAK1"":0,""2VAIAK2"":0,""2VAIAK3"":0,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":64525,""internal_node_id"":""0.0-6.0""}","{""rt"":3830.9000000954,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":852229,""internal_node_id"":""0.0-253.0""}"
36,5dc082848531b10339bb55ac,622b583de6baafcac196edf3,6241bbe2096ce641bc16ae25,1,"{""rt"":15537.300000012,""response"":{""age"":""23"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":1036313,""internal_node_id"":""0.0-3.0""}","{""rt"":10363,""response"":{""demo_gender"":""male"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":1046679,""internal_node_id"":""0.0-4.0""}","{""rt"":19451.800000012,""response"":{""VAIAK1"":2,""VAIAK2"":1,""VAIAK3"":3,""VAIAK4"":2,""VAIAK5"":2,""VAIAK6"":3,""VAIAK7"":2},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":1066133,""internal_node_id"":""0.0-5.0""}","{""rt"":17496.199999988,""response"":{""2VAIAK1"":0,""2VAIAK2"":1,""2VAIAK3"":2,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":1083632,""internal_node_id"":""0.0-6.0""}","{""rt"":5529,""response"":{""imgs_known"":""None""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":1097870,""internal_node_id"":""0.0-243.0""}"
39,5ff61abe2ac133164d8958d3,622b583de6baafcac196edf3,6241bbe427c47f592bcc38e2,1,"{""rt"":12812.5,""response"":{""age"":""19"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":20633,""internal_node_id"":""0.0-3.0""}","{""rt"":6205.7999999523,""response"":{""demo_gender"":""male"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":26845,""internal_node_id"":""0.0-4.0""}","{""rt"":22504.699999809,""response"":{""VAIAK1"":5,""VAIAK2"":4,""VAIAK3"":3,""VAIAK4"":3,""VAIAK5"":4,""VAIAK6"":3,""VAIAK7"":4},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":49356,""internal_node_id"":""0.0-5.0""}","{""rt"":15537.099999905,""response"":{""2VAIAK1"":2,""2VAIAK2"":3,""2VAIAK3"":4,""2VAIAK4"":4},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":64898,""internal_node_id"":""0.0-6.0""}",
42,601e1cae7d6414276e39e5db,622b583de6baafcac196edf3,6241bbdb7968683044990eda,1,"{""rt"":13056.399999976,""response"":{""age"":""19"",""nationality"":""mexican""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":35673,""internal_node_id"":""0.0-3.0""}","{""rt"":10677,""response"":{""demo_gender"":""non-binary"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":46359,""internal_node_id"":""0.0-4.0""}","{""rt"":48928.599999964,""response"":{""VAIAK1"":6,""VAIAK2"":5,""VAIAK3"":5,""VAIAK4"":6,""VAIAK5"":5,""VAIAK6"":5,""VAIAK7"":6},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":95315,""internal_node_id"":""0.0-5.0""}","{""rt"":29016.300000012,""response"":{""2VAIAK1"":0,""2VAIAK2"":2,""2VAIAK3"":5,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":124348,""internal_node_id"":""0.0-6.0""}","{""rt"":10669,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":1379634,""internal_node_id"":""0.0-253.0""}"
45,60fc7f3f9cc85bfba63d07b5,622b583de6baafcac196edf3,6241bbdc17003e5c8c58bad2,1,"{""rt"":10194.799999982,""response"":{""age"":""24"",""nationality"":""south african""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":39977,""internal_node_id"":""0.0-3.0""}","{""rt"":11096.900000006,""response"":{""demo_gender"":""female"",""demo_edu"":""primary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":51082,""internal_node_id"":""0.0-4.0""}","{""rt"":36497.799999982,""response"":{""VAIAK1"":4,""VAIAK2"":4,""VAIAK3"":2,""VAIAK4"":5,""VAIAK5"":4,""VAIAK6"":5,""VAIAK7"":1},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":87592,""internal_node_id"":""0.0-5.0""}","{""rt"":32368.900000006,""response"":{""2VAIAK1"":0,""2VAIAK2"":0,""2VAIAK3"":5,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":119971,""internal_node_id"":""0.0-6.0""}","{""rt"":2717.3999999762,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":826485,""internal_node_id"":""0.0-243.0""}"
48,5f6cbceb1758e90a22144647,622b583de6baafcac196edf3,6241bbf271effeeb22be076a,1,"{""rt"":11847.399999991,""response"":{""age"":""21"",""nationality"":""portuguese""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":24755,""internal_node_id"":""0.0-3.0""}","{""rt"":5907.200000003,""response"":{""demo_gender"":""female"",""demo_edu"":""Master's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":30666,""internal_node_id"":""0.0-4.0""}","{""rt"":15602.799999997,""response"":{""VAIAK1"":5,""VAIAK2"":5,""VAIAK3"":5,""VAIAK4"":5,""VAIAK5"":5,""VAIAK6"":5,""VAIAK7"":5},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":46274,""internal_node_id"":""0.0-5.0""}","{""rt"":64737.800000012,""response"":{""2VAIAK1"":3,""2VAIAK2"":3,""2VAIAK3"":5,""2VAIAK4"":5},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":111014,""internal_node_id"":""0.0-6.0""}",
51,60f44603ab889b8c011828d3,622b583de6baafcac196edf3,6241bbac8c48d4d90827837e,1,"{""rt"":13511,""response"":{""age"":""31"",""nationality"":""zimbabwean""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":130197,""internal_node_id"":""0.0-3.0""}","{""rt"":11783,""response"":{""demo_gender"":""female"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":142010,""internal_node_id"":""0.0-4.0""}","{""rt"":30292,""response"":{""VAIAK1"":2,""VAIAK2"":0,""VAIAK3"":2,""VAIAK4"":2,""VAIAK5"":1,""VAIAK6"":1,""VAIAK7"":0},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":172329,""internal_node_id"":""0.0-5.0""}","{""rt"":37459,""response"":{""2VAIAK1"":0,""2VAIAK2"":1,""2VAIAK3"":1,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":209806,""internal_node_id"":""0.0-6.0""}","{""rt"":5637,""response"":{""imgs_known"":""None""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":5041191,""internal_node_id"":""0.0-253.0""}"
54,5f71f188f1e477097b57b598,622b583de6baafcac196edf3,6241bbf046e3ab83503fd1d7,1,"{""rt"":10522.099999905,""response"":{""age"":""18"",""nationality"":""slovenian""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":44720,""internal_node_id"":""0.0-3.0""}","{""rt"":5730.8000001907,""response"":{""demo_gender"":""female"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":50456,""internal_node_id"":""0.0-4.0""}","{""rt"":25597.099999905,""response"":{""VAIAK1"":5,""VAIAK2"":2,""VAIAK3"":2,""VAIAK4"":3,""VAIAK5"":3,""VAIAK6"":4,""VAIAK7"":3},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":76058,""internal_node_id"":""0.0-5.0""}","{""rt"":24770.299999952,""response"":{""2VAIAK1"":1,""2VAIAK2"":0,""2VAIAK3"":1,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":100832,""internal_node_id"":""0.0-6.0""}","{""rt"":8810.2999999523,""response"":{""imgs_known"":""11-25""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":1065191,""internal_node_id"":""0.0-253.0""}"
57,5f8861b049433030066f8bd0,622b583de6baafcac196edf3,6241bbfbfa43505d61e61115,1,"{""rt"":10340.6,""response"":{""age"":""21"",""nationality"":""portuguese""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":73147,""internal_node_id"":""0.0-3.0""}","{""rt"":9366,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":82518,""internal_node_id"":""0.0-4.0""}","{""rt"":27806.8,""response"":{""VAIAK1"":4,""VAIAK2"":2,""VAIAK3"":2,""VAIAK4"":3,""VAIAK5"":3,""VAIAK6"":2,""VAIAK7"":1},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":110335,""internal_node_id"":""0.0-5.0""}","{""rt"":20937.9,""response"":{""2VAIAK1"":1,""2VAIAK2"":0,""2VAIAK3"":4,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":131283,""internal_node_id"":""0.0-6.0""}","{""rt"":8184.1999999993,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":2738850,""internal_node_id"":""0.0-253.0""}"
60,5fc138de740d620259a37583,622b583de6baafcac196edf3,6241bbd6b03602b2de05cd1b,1,"{""rt"":7836.8999998569,""response"":{""age"":""26"",""nationality"":""portuguese""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":118842,""internal_node_id"":""0.0-3.0""}","{""rt"":6856.5999999046,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":125702,""internal_node_id"":""0.0-4.0""}","{""rt"":33679.099999905,""response"":{""VAIAK1"":4,""VAIAK2"":4,""VAIAK3"":1,""VAIAK4"":3,""VAIAK5"":1,""VAIAK6"":2,""VAIAK7"":3},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":159387,""internal_node_id"":""0.0-5.0""}","{""rt"":31056.299999952,""response"":{""2VAIAK1"":2,""2VAIAK2"":1,""2VAIAK3"":5,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":190450,""internal_node_id"":""0.0-6.0""}","{""rt"":2213.3999998569,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":887891,""internal_node_id"":""0.0-243.0""}"
